Time,Time Code,Country Name,Country Code,Forest area (% of land area) [AG.LND.FRST.ZS],Claims on central government (annual growth as % of broad money) [FM.AST.CGOV.ZG.M3],"Commercial bank branches (per 100,000 adults) [FB.CBK.BRCH.P5]",Deposit interest rate (%) [FR.INR.DPST],"Stocks traded, total value (% of GDP) [CM.MKT.TRAD.GD.ZS]","Stocks traded, total value (current US$) [CM.MKT.TRAD.CD]",Wholesale price index (2010 = 100) [FP.WPI.TOTL],"Risk premium on lending (lending rate minus treasury bill rate, %) [FR.INR.RISK]",Real interest rate (%) [FR.INR.RINR],Net domestic credit (current LCU) [FM.AST.DOMS.CN],Net foreign assets (current LCU) [FM.AST.NFRG.CN]
1990,YR1990,Afghanistan,AFG,1.852781994,49.76699468,..,..,..,..,..,..,..,4.46045E+11,3856896160
1990,YR1990,Australia,AUS,17.42735899,-2.763596664,..,15.82711864,12.90370817,40186100000,93.6967094,..,9.667882236,2.84288E+11,-5835259772
1990,YR1990,Canada,CAN,38.84551156,0.752289646,..,9.854166667,11.42868474,68125140000,..,1.254166667,10.32064955,5.65094E+11,-19180296375
1990,YR1990,China,CHN,16.73800655,1.528117896,..,8.64,..,..,100,..,3.451644667,1.66892E+12,1.69226E+11
1990,YR1990,Germany,DEU,32.36616733,..,..,..,30.61977798,5.42482E+11,100,..,..,..,..
1990,YR1990,India,IND,21.50484833,10.51996064,..,..,..,..,27.84515374,..,5.269526998,2.92947E+12,58250490934
1990,YR1990,Indonesia,IDN,65.43771425,-5.618285807,..,17.53083333,..,..,14.77462611,..,10.73478336,9.8418E+13,1.06591E+13
1990,YR1990,Malaysia,MYS,62.75604931,-28.47356771,..,5.720833333,24.33104126,10711640000,..,2.669916667,4.795417723,86540700000,25562963460
1990,YR1990,Qatar,QAT,0,-4.253430373,..,6,..,..,..,..,..,9008860000,8617317814
1990,YR1990,Poland,POL,28.9986614,-14.49064672,..,..,..,..,..,..,..,11540730000,7449086728
1990,YR1990,United Kingdom,GBR,11.48266027,1.94556311,..,12.54416667,27.83044039,3.04246E+11,..,0.673891667,6.378848722,6.74265E+11,-40258000000
1990,YR1990,United States,USA,33.02230821,0.792381763,..,..,34.07760068,2.0321E+12,..,2.499166667,6.039749199,4.7252E+12,72728253546
1990,YR1990,United Arab Emirates,ARE,3.44973247,-5.451821146,..,..,..,..,..,..,..,43133813119,55342186881
2000,YR2000,Afghanistan,AFG,1.852781994,..,..,..,..,..,..,..,..,..,..
2000,YR2000,Australia,AUS,17.15815576,-1.836867343,..,4.906991525,51.27471146,2.13223E+11,..,1.740582488,5.027558338,6.17263E+11,-72094290437
